96-97,539,71,6,41.7,37.5,43.7,81.9,7.59
97-98,1220,79,1,42.8,34.1,45.6,79.4,15.44
98-99,996,50,50,46.5,26.7,49.4,83.9,19.92
99-00,1485,66,62,46.8,31.9,48.9,82.1,22.5
00-01,1938,68,68,46.4,30.5,48.9,85.3,28.5
01-02,2019,80,80,46.9,25.0,48.9,82.9,25.24
02-03,2461,82,82,45.1,38.3,46.5,84.3,30.01
03-04,1557,65,64,43.8,32.7,46.3,85.2,23.95
04-05,1819,66,66,43.3,33.9,47.2,81.6,27.56
05-06,2832,80,80,45.0,34.7,48.2,85.0,35.4
06-07,2430,77,77,46.3,34.4,49.7,86.8,32.56
07-08,2323,82,82,45.9,36.1,49.0,84,28.33
08-09,2201,82,82,46.7,35.1,49.6,85.6,26.8
09-10,1970,73,73,45.6,32.9,48.7,81.1,26.98
10-11,2078,82,82,45.1,32.3,48.7,82.8,25.34
11-12,1616,58,58,43.0,30.3,46.4,84.5,27.86
12-13,2133,78,78,46.3,32.4,51.0,83.9,27.35
13-14,83,6,6,42.5,18.8,49.1,85.7,13.83
14-15,782,35,35,37.3,29.3,40.1,81.3,22.34
15-16,1161,66,66,35.8,28.5,41.0,82.6,17.59
